,Final Pick,Total Projected Indy Wins,First Quarter Wins,Second Quarter Wins,Third Quarter Wins,Games Played By Carson (17 Max),Colts Made Playoffs,Playoff_Result,Game_Where_Indy_Fell_Out_of_Playoffs,Carson Benched On Purpose,Week Carson Benched On Purpose,Out_of_Division,Game_Where_Indy_Fell_Out_of_Division,Wins_of_Div_Winner,Out_of_Wildcard,Game_Where_Indy_Fell_Out_of_Wildcard,Wins_of_Last_WC,Injured,Week of Injury,Benched,COVID-19 Infection,Games Missed From COVID-19,Week Of COVID-19 Infection,Week 1 Result,Week 2 Result,Week 3 Result,Week 4 Result,Week 5 Result,Week 6 Result,Week 7 Result,Week 8 Result,Week 9 Result,Week 10 Result,Week 11 Result,Week 12 Result,Week 13 Result,Week 14 Result,Week 15 Result,Week 16 Result,Week 17 Result,Draft Pick Points,Carson Final Snap %,Percentage of Total Occurances (%),Colts_Eliminated_From_Division_or_Wild_Card_Race_First
0,15,8.0,1,4,7,14.878696466478496,False,Missed Playoffs,17.0,True,17,True,17.0,11.0,True,17.0,10.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,JAX,IND,IND,HOU,NE,ARI,IND,JAX,1050,87.52174392046174,0.01,Lost Wild Card and Division at Same Time
1,11,7.0,1,4,6,15.611187974647507,False,Missed Playoffs,17.0,True,17,True,17.0,10.0,True,17.0,9.0,True,12,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,IND,BUF,IND,HOU,IND,ARI,OAK,JAX,1250,91.83051749792651,0.01,Lost Wild Card and Division at Same Time
2,39,6.0,1,4,4,12.695152159999997,False,Missed Playoffs,16.0,True,17,True,14.0,11.0,True,16.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,JAX,BUF,TB,IND,NE,ARI,OAK,IND,510,74.6773656470588,0.01,Lost Division First
3,49,9.0,1,4,6,12.385284248650773,False,Missed Playoffs,,True,17,True,15.0,12.0,False,,10.0,True,11,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,NE,ARI,IND,IND,410,72.85461322735749,0.01,Lost Division First
4,16,9.0,1,3,7,16.8904,False,Missed Playoffs,17.0,False,0,True,17.0,11.0,True,17.0,10.0,False,0,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,IND,HOU,IND,ARI,OAK,IND,1000,99.35529411764705,0.01,Lost Wild Card and Division at Same Time
5,30,9.0,1,4,6,14.823358075246762,True,Conference Final Exit,,True,17,True,17.0,11.0,False,,8.0,True,16,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,620,87.19622397203977,0.01,None
6,47,8.0,1,3,5,12.274599738090346,False,Missed Playoffs,16.0,True,17,True,15.0,12.0,True,16.0,9.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,IND,IND,IND,ARI,OAK,IND,430,72.20352787111969,0.01,Lost Division First
7,27,10.0,1,4,7,16.171921052162578,True,Second Round Exit,,False,0,False,,11.0,False,,10.0,True,13,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,IND,HOU,IND,IND,IND,JAX,680,95.12894736566221,0.01,None
8,17,9.0,1,4,6,13.94707774923408,False,Missed Playoffs,,True,17,True,16.0,12.0,False,,9.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,ARI,OAK,IND,950,82.041633819024,0.01,Lost Division First
9,25,11.0,1,4,6,16.190528398895804,True,Second Round Exit,,False,0,False,,11.0,False,,8.0,True,15,False,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,IND,IND,BUF,TB,IND,IND,IND,IND,IND,720,95.23840234644591,0.01,None
10,28,10.0,1,3,6,14.374596581078007,True,Second Round Exit,,True,17,True,17.0,12.0,False,,10.0,True,13,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,IND,IND,IND,TB,IND,IND,ARI,IND,IND,660,84.55645047692946,0.01,None
11,42,7.0,1,4,4,12.657880956799998,False,Missed Playoffs,14.0,True,17,True,14.0,12.0,True,14.0,9.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,JAX,BUF,TB,HOU,NE,IND,IND,IND,480,74.45812327529411,0.01,Lost Wild Card and Division at Same Time
12,5,5.0,1,4,5,13.655552159999997,False,Missed Playoffs,15.0,True,17,True,15.0,11.0,True,15.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,IND,NYJ,JAX,BUF,IND,HOU,NE,ARI,OAK,JAX,1700,80.3267774117647,0.01,Lost Wild Card and Division at Same Time
13,43,6.0,1,3,4,12.596744159999997,False,Missed Playoffs,15.0,True,17,True,14.0,14.0,True,15.0,10.0,False,0,True,False,0,0,SEA,LAR,TEN,IND,BAL,IND,IND,TEN,NYJ,IND,BUF,TB,IND,NE,ARI,OAK,IND,470,74.09849505882352,0.01,Lost Division First
